Team,Appearances
Brazil,31
Germany,29
United States,21
Japan,16
Sweden,21
Norway,12
Nigeria,15
China,9
Australia,14
Canada,10
England,22
Italy,22
France,21
South Korea,15
Argentina,22
Mexico,21
Spain,19
Netherlands,14
Russia,13
Denmark,11
New Zealand,8
Ghana,7
South Africa,5
Jamaica,3
Colombia,9
Thailand,2
Cameroon,10
Costa Rica,7
Ecuador,5
Scotland,9
Chile,10
Haiti,2
Panama,2
Philippines,1
Vietnam,1
Zambia,1
Morocco,7
Republic of Ireland,4
Portugal,9
Switzerland,14
Paraguay,9
Mali,1
Equatorial Guinea,2
Ivory Coast,4
Trinidad and Tobago,2
Kazakhstan,1
Uzbekistan,1
North Korea,6
Serbia,13
Hungary,9
Czech Republic,9
Poland,9
Bulgaria,7
Romania,7
Austria,7
Saudi Arabia,6
Iran,6
Tunisia,6
Croatia,6
Peru,5
Algeria,4
Honduras,3
Bolivia,3
Egypt,3
Wales,2
Turkey,2
El Salvador,2
Slovenia,2
Qatar,1
Cuba,1
Indonesia,1
Israel,1
DR Congo,1
East Germany,1
Kuwait,1
Iraq,1
United Arab Emirates,1
Angola,1
Togo,1
Slovakia,1
Bosnia and Herzegovina,1
Iceland,1
Tanzania,1